Date;Day;hour;Air temperature(°C);Geothermal collectors (°C);Surface water_river Neckar (°C);Wastewater (°C);Geothermal probe (°C);Groundwater (°C);Wasteheat (°C)
01.01.2021;1;24;1,8;7,5;4,6;11,33;10,4;10,4;30
02.01.2021;2;48;0,2;7,4;4,6;10,89;10,4;10,4;30
03.01.2021;3;72;-0,1;7,3;4,5;11,33;10,4;10,4;30
04.01.2021;4;96;0,2;7,1;4,5;12,95;10,4;10,4;30
05.01.2021;5;120;0,7;7,0;4,4;12,8;10,4;10,4;30
06.01.2021;6;144;0,2;6,9;4,4;12,36;10,4;10,4;30
07.01.2021;7;168;1,0;6,7;4,4;11,77;10,4;10,4;30
08.01.2021;8;192;0,3;6,6;4,5;13,09;10,4;10,4;30
09.01.2021;9;216;-0,6;6,5;4,3;12,21;10,4;10,4;30
10.01.2021;10;240;-2,6;6,4;3,7;12,07;10,4;10,4;30
11.01.2021;11;264;-3,4;6,3;2,9;13,1;10,4;10,4;30
12.01.2021;12;288;1,4;6,2;2,6;12,95;10,4;10,4;30
13.01.2021;13;312;1,9;6,0;3,1;13,24;10,4;10,4;30
14.01.2021;14;336;1,1;5,9;3,5;13,54;10,4;10,4;30
15.01.2021;15;360;-1,0;5,7;3,3;13,39;10,4;10,4;30
16.01.2021;16;384;-1,4;5,7;2,9;12,95;10,4;10,4;30
17.01.2021;17;408;-1,2;5,6;2,5;12,66;10,4;10,4;30
18.01.2021;18;432;2,1;5,5;2,7;12,8;10,4;10,4;30
19.01.2021;19;456;2,4;5,5;3;13,1;10,4;10,4;30
20.01.2021;20;480;4,7;5,4;3,1;13,39;10,4;10,4;30
21.01.2021;21;504;9,7;5,3;3,8;9,86;10,4;10,4;30
22.01.2021;22;528;7,7;5,3;5;9,57;10,4;10,4;30
23.01.2021;23;552;2,1;5,5;5,4;11,78;10,4;10,4;30
24.01.2021;24;576;1,0;5,6;4,9;12,36;10,4;10,4;30
25.01.2021;25;600;-0,2;5,6;4,3;12,51;10,4;10,4;30
26.01.2021;26;624;1,1;5,6;4,2;12,66;10,4;10,4;30
27.01.2021;27;648;0,4;5,5;4;12,22;10,4;10,4;30
28.01.2021;28;672;7,0;5,3;4,4;11,78;10,4;10,4;30
29.01.2021;29;696;8,8;5,2;5,6;11,63;10,4;10,4;30
30.01.2021;30;720;5,8;5,3;5,7;11,78;10,4;10,4;30
31.01.2021;31;744;2,2;5,5;6,1;11,19;10,4;10,4;30
01.02.2021;32;768;5,9;5,7;6,4;12,07;10,4;10,4;30
02.02.2021;33;792;8,3;5,7;7,1;12,07;10,4;10,4;30
03.02.2021;34;816;10,0;5,7;7,6;12,22;10,4;10,4;30
04.02.2021;35;840;7,9;6,0;7,4;11,48;10,4;10,4;30
05.02.2021;36;864;7,4;6,2;7,5;12,22;10,4;10,4;30
06.02.2021;37;888;6,7;6,4;8;12,22;10,4;10,4;30
07.02.2021;38;912;4,8;6,5;7,9;12,22;10,4;10,4;30
08.02.2021;39;936;0,3;6,6;7,4;12,37;10,4;10,4;30
09.02.2021;40;960;-3,7;6,6;6,3;11,05;10,4;10,4;30
10.02.2021;41;984;-6,9;6,5;5;10,02;10,4;10,4;30
11.02.2021;42;1008;-7,5;6,3;3,7;10,6;10,4;10,4;30
12.02.2021;43;1032;-7,6;6,1;2,6;10,31;10,4;10,4;30
13.02.2021;44;1056;-6,6;5,9;1,9;10,61;10,4;10,4;30
14.02.2021;45;1080;-3,3;5,7;1,6;11,49;10,4;10,4;30
15.02.2021;46;1104;-0,3;5,5;2,1;11,19;10,4;10,4;30
16.02.2021;47;1128;7,0;5,3;3,5;9,87;10,4;10,4;30
17.02.2021;48;1152;8,5;5,2;5;11,78;10,4;10,4;30
18.02.2021;49;1176;6,9;5,2;5,6;10,9;10,4;10,4;30
19.02.2021;50;1200;8,6;5,3;6,4;11,34;10,4;10,4;30
20.02.2021;51;1224;10,3;5,5;6,9;11,19;10,4;10,4;30
21.02.2021;52;1248;10,0;5,7;7,1;11,64;10,4;10,4;30
22.02.2021;53;1272;8,5;5,9;7,1;11,49;10,4;10,4;30
23.02.2021;54;1296;11,2;6,1;7,2;9,87;10,4;10,4;30
24.02.2021;55;1320;12,7;6,3;7,6;9,87;10,4;10,4;30
25.02.2021;56;1344;12,3;6,5;7,9;11,34;10,4;10,4;30
26.02.2021;57;1368;8,0;6,8;8,1;11,05;10,4;10,4;30
27.02.2021;58;1392;4,6;7,0;8,1;11,34;10,4;10,4;30
28.02.2021;59;1416;4,2;7,1;7,5;11,34;10,4;10,4;30
01.03.2021;60;1440;6,0;7,1;7,1;11,34;10,4;10,4;30
02.03.2021;61;1464;7,4;7,1;7;11,34;10,4;10,4;30
03.03.2021;62;1488;7,5;7,0;6,9;10,9;10,4;10,4;30
04.03.2021;63;1512;9,5;7,1;7,3;10,61;10,4;10,4;30
05.03.2021;64;1536;2,8;7,1;7,6;10,61;10,4;10,4;30
06.03.2021;65;1560;1,5;7,2;6,9;10,9;10,4;10,4;30
07.03.2021;66;1584;2,2;7,1;6,3;9,29;10,4;10,4;30
08.03.2021;67;1608;1,9;7,0;6,4;9,14;10,4;10,4;30
09.03.2021;68;1632;2,7;6,9;6,1;10,46;10,4;10,4;30
10.03.2021;69;1656;6,1;6,7;6,4;10,46;10,4;10,4;30
11.03.2021;70;1680;9,9;6,7;7,1;10,76;10,4;10,4;30
12.03.2021;71;1704;7,2;6,8;7,7;11,05;10,4;10,4;30
13.03.2021;72;1728;6,5;6,9;7,6;11,49;10,4;10,4;30
14.03.2021;73;1752;3,5;6,9;7,4;11,93;10,4;10,4;30
15.03.2021;74;1776;4,4;6,9;6,8;11,93;10,4;10,4;30
16.03.2021;75;1800;4,0;6,8;6,6;11,93;10,4;10,4;30
17.03.2021;76;1824;2,5;6,7;6,6;11,94;10,4;10,4;30
18.03.2021;77;1848;2,4;6,7;6,5;12,52;10,4;10,4;30
19.03.2021;78;1872;1,1;6,7;6,3;12,52;10,4;10,4;30
20.03.2021;79;1896;0,9;6,5;6;11,94;10,4;10,4;30
21.03.2021;80;1920;3,6;6,5;5,9;11,94;10,4;10,4;30
22.03.2021;81;1944;3,9;6,4;5,9;11,94;10,4;10,4;30
23.03.2021;82;1968;5,3;6,4;6,3;11,94;10,4;10,4;30
24.03.2021;83;1992;6,7;6,4;6,6;12,23;10,4;10,4;30
25.03.2021;84;2016;9,6;6,4;7,5;12,23;10,4;10,4;30
26.03.2021;85;2040;11,8;6,6;8,5;11,64;10,4;10,4;30
27.03.2021;86;2064;9,0;6,8;9,4;12,08;10,4;10,4;30
28.03.2021;87;2088;10,0;7,0;9,5;12,08;10,4;10,4;30
29.03.2021;88;2112;13,0;7,3;9,8;12,53;10,4;10,4;30
30.03.2021;89;2136;14,5;7,5;10,1;12,53;10,4;10,4;30
31.03.2021;90;2160;15,7;7,8;10,8;13,41;10,4;10,4;30
01.04.2021;91;2184;16,1;8,1;11,5;13,66;10,4;10,4;30
02.04.2021;92;2208;9,6;8,4;11,8;13,41;10,4;10,4;30
03.04.2021;93;2232;6,5;8,7;11,3;12,38;10,4;10,4;30
04.04.2021;94;2256;7,1;8,9;10,7;12,38;10,4;10,4;30
05.04.2021;95;2280;4,9;9,0;10;13,66;10,4;10,4;30
06.04.2021;96;2304;0,4;9,1;8,5;13,12;10,4;10,4;30
07.04.2021;97;2328;0,9;9,0;7,6;13,12;10,4;10,4;30
08.04.2021;98;2352;4,0;8,8;7,2;13,12;10,4;10,4;30
09.04.2021;99;2376;8,8;8,5;7,5;13,56;10,4;10,4;30
10.04.2021;100;2400;13,1;8,4;8,4;14,29;10,4;10,4;30
11.04.2021;101;2424;12,0;8,4;9,7;13,56;10,4;10,4;30
12.04.2021;102;2448;3,8;8,5;10;13,7;10,4;10,4;30
13.04.2021;103;2472;3,7;8,6;9,4;13,7;10,4;10,4;30
14.04.2021;104;2496;2,8;8,6;8,7;12,24;10,4;10,4;30
15.04.2021;105;2520;3,1;8,5;8,2;11,65;10,4;10,4;30
16.04.2021;106;2544;3,0;8,4;7,9;12,53;10,4;10,4;30
17.04.2021;107;2568;5,8;8,3;7,8;13,12;10,4;10,4;30
18.04.2021;108;2592;6,5;8,2;8,1;15,47;10,4;10,4;30
19.04.2021;109;2616;6,7;8,3;8,4;13,56;10,4;10,4;30
20.04.2021;110;2640;9,0;8,4;8,8;13,56;10,4;10,4;30
21.04.2021;111;2664;11,7;8,4;10,1;14;10,4;10,4;30
22.04.2021;112;2688;10,2;8,6;10,9;14;10,4;10,4;30
23.04.2021;113;2712;10,0;8,8;11,2;14;10,4;10,4;30
24.04.2021;114;2736;11,7;9,0;11,9;14,59;10,4;10,4;30
25.04.2021;115;2760;10,2;9,2;12,6;14,74;10,4;10,4;30
26.04.2021;116;2784;9,7;9,5;12,8;14,74;10,4;10,4;30
27.04.2021;117;2808;10,7;9,8;13;15,32;10,4;10,4;30
28.04.2021;118;2832;13,6;10,0;13,3;17,97;10,4;10,4;30
29.04.2021;119;2856;11,6;10,2;14;15,32;10,4;10,4;30
30.04.2021;120;2880;6,2;10,4;13,3;15,18;10,4;10,4;40
01.05.2021;121;2904;7,3;10,5;11,9;14,59;10,4;10,4;40
02.05.2021;122;2928;8,2;10,4;11;14,15;10,4;10,4;40
03.05.2021;123;2952;8,8;10,3;10,1;13,56;10,4;10,4;40
04.05.2021;124;2976;10,6;10,3;10,3;13,56;10,4;10,4;40
05.05.2021;125;3000;7,3;10,2;10,9;14,15;10,4;10,4;40
06.05.2021;126;3024;7,6;10,2;10,5;14,3;10,4;10,4;40
07.05.2021;127;3048;8,0;10,1;9,9;14,44;10,4;10,4;40
08.05.2021;128;3072;11,6;10,0;9,6;14,59;10,4;10,4;40
09.05.2021;129;3096;20,0;9,9;11;14,45;10,4;10,4;40
10.05.2021;130;3120;16,2;10,0;12,7;14,45;10,4;10,4;40
11.05.2021;131;3144;12,5;10,3;12,9;14,45;10,4;10,4;40
12.05.2021;132;3168;11,4;10,5;12,3;14,59;10,4;10,4;40
13.05.2021;133;3192;12,4;10,8;11,9;16,06;10,4;10,4;40
14.05.2021;134;3216;12,3;11,0;12,1;17,09;10,4;10,4;40
15.05.2021;135;3240;11,9;11,0;12,3;15,48;10,4;10,4;40
16.05.2021;136;3264;12,4;11,2;12,3;15,18;10,4;10,4;40
17.05.2021;137;3288;11,4;11,2;12,6;14,74;10,4;10,4;40
18.05.2021;138;3312;10,6;11,4;12,6;14,74;10,4;10,4;40
19.05.2021;139;3336;11,4;11,3;12,7;15,48;10,4;10,4;40
20.05.2021;140;3360;12,1;11,4;12,7;15,33;10,4;10,4;40
21.05.2021;141;3384;12,8;11,5;12,6;15,62;10,4;10,4;40
22.05.2021;142;3408;12,9;11,6;12,6;15,62;10,4;10,4;40
23.05.2021;143;3432;11,8;11,6;13,2;15,62;10,4;10,4;40
24.05.2021;144;3456;12,1;11,7;13,1;15,92;10,4;10,4;40
25.05.2021;145;3480;11,4;11,8;12,8;16,8;10,4;10,4;40
26.05.2021;146;3504;10,9;11,8;12,5;15,62;10,4;10,4;40
